# ground truth trajectory
# file: 'rgbd_dataset_freiburg1_xyz.bag'
# timestamp tx ty tz qx qy qz qw
1620701498.681648 0.0000 -0.0000 -0.0000 -0.0000 -0.0000 -0.0000 1.0000
1620701498.714981 0.0000 -0.0000 0.0044 -0.0000 0.0087 -0.0000 1.0000
1620701498.748315 0.0006 -0.0035 0.0344 -0.0000 0.0087 -0.0000 1.0000
1620701498.781648 0.0011 -0.0069 0.0644 -0.0000 0.0087 -0.0000 1.0000
1620701498.814981 0.0016 -0.0104 0.0943 -0.0000 0.0087 -0.0000 1.0000
1620701498.848315 0.0017 -0.0104 0.0987 -0.0000 0.0175 -0.0000 0.9998
1620701498.881648 0.0019 -0.0104 0.1031 -0.0000 0.0262 -0.0000 0.9997
1620701498.914981 0.0022 -0.0104 0.1074 -0.0000 0.0349 -0.0000 0.9994
1620701498.948314 0.0025 -0.0104 0.1118 -0.0000 0.0436 -0.0000 0.9990
1620701498.981648 0.0029 -0.0104 0.1161 -0.0000 0.0523 -0.0000 0.9986
1620701499.014981 0.0034 -0.0104 0.1205 -0.0000 0.0610 -0.0000 0.9981
1620701499.048314 0.0040 -0.0104 0.1248 -0.0000 0.0698 -0.0000 0.9976
1620701499.081648 0.0046 -0.0104 0.1291 -0.0000 0.0785 -0.0000 0.9969
1620701499.114981 0.0054 -0.0104 0.1334 -0.0000 0.0872 -0.0000 0.9962
1620701499.148314 0.0062 -0.0104 0.1377 -0.0000 0.0958 -0.0000 0.9954
1620701499.181648 0.0070 -0.0104 0.1420 -0.0000 0.1045 -0.0000 0.9945
1620701499.214981 0.0080 -0.0104 0.1462 -0.0000 0.1132 -0.0000 0.9936
1620701499.248314 0.0090 -0.0104 0.1505 -0.0000 0.1219 -0.0000 0.9925
1620701499.281647 0.0101 -0.0104 0.1547 -0.0000 0.1305 -0.0000 0.9914
1620701499.314981 0.0113 -0.0104 0.1589 -0.0000 0.1392 -0.0000 0.9903
1620701499.348314 0.0125 -0.0104 0.1631 -0.0000 0.1478 -0.0000 0.9890
1620701499.381647 0.0138 -0.0104 0.1672 -0.0000 0.1564 -0.0000 0.9877
1620701499.414981 0.0152 -0.0104 0.1714 -0.0000 0.1650 -0.0000 0.9863
1620701499.448314 0.0166 -0.0104 0.1755 -0.0000 0.1736 -0.0000 0.9848
1620701499.481647 0.0182 -0.0104 0.1796 -0.0000 0.1822 -0.0000 0.9833
1620701499.514981 0.0198 -0.0104 0.1836 -0.0000 0.1908 -0.0000 0.9816
1620701499.548314 0.0214 -0.0104 0.1877 -0.0000 0.1994 -0.0000 0.9799
1620701499.581647 0.0232 -0.0104 0.1917 -0.0000 0.2079 -0.0000 0.9781
1620701499.614980 0.0250 -0.0104 0.1956 -0.0000 0.2164 -0.0000 0.9763
1620701499.648314 0.0269 -0.0104 0.1996 -0.0000 0.2250 -0.0000 0.9744
1620701499.681647 0.0288 -0.0104 0.2035 -0.0000 0.2334 -0.0000 0.9724
1620701499.714980 0.0308 -0.0104 0.2074 -0.0000 0.2419 -0.0000 0.9703
1620701499.748314 0.0329 -0.0104 0.2112 -0.0000 0.2504 -0.0000 0.9681
1620701499.781647 0.0351 -0.0104 0.2150 -0.0000 0.2588 -0.0000 0.9659
1620701499.814980 0.0373 -0.0104 0.2187 -0.0000 0.2672 -0.0000 0.9636
1620701499.848314 0.0396 -0.0104 0.2225 -0.0000 0.2756 -0.0000 0.9613
1620701499.881647 0.0419 -0.0104 0.2261 -0.0000 0.2840 -0.0000 0.9588
1620701499.914980 0.0443 -0.0104 0.2298 -0.0000 0.2924 -0.0000 0.9563
1620701499.948313 0.0468 -0.0104 0.2334 -0.0000 0.3007 -0.0000 0.9537
1620701499.981647 0.0493 -0.0104 0.2369 -0.0000 0.3090 -0.0000 0.9511
1620701500.014980 0.0519 -0.0104 0.2404 -0.0000 0.3173 -0.0000 0.9483
1620701500.048313 0.0546 -0.0104 0.2439 -0.0000 0.3256 -0.0000 0.9455
1620701500.081647 0.0573 -0.0104 0.2473 -0.0000 0.3338 -0.0000 0.9426
1620701500.114980 0.0601 -0.0104 0.2507 -0.0000 0.3420 -0.0000 0.9397
1620701500.148313 0.0629 -0.0104 0.2540 -0.0000 0.3502 -0.0000 0.9367
1620701500.181647 0.0658 -0.0104 0.2573 -0.0000 0.3584 -0.0000 0.9336
1620701500.214980 0.0687 -0.0104 0.2605 -0.0000 0.3665 -0.0000 0.9304
1620701500.248313 0.0717 -0.0104 0.2637 -0.0000 0.3746 -0.0000 0.9272
1620701500.281646 0.0748 -0.0104 0.2668 -0.0000 0.3827 -0.0000 0.9239
1620701500.314980 0.0779 -0.0104 0.2698 -0.0000 0.3907 -0.0000 0.9205
1620701500.348313 0.0811 -0.0104 0.2728 -0.0000 0.3987 -0.0000 0.9171
1620701500.381646 0.0843 -0.0104 0.2758 -0.0000 0.4067 -0.0000 0.9135
1620701500.414980 0.0876 -0.0104 0.2787 -0.0000 0.4147 -0.0000 0.9100
1620701500.448313 0.0909 -0.0104 0.2815 -0.0000 0.4226 -0.0000 0.9063
1620701500.481646 0.0942 -0.0104 0.2843 -0.0000 0.4305 -0.0000 0.9026
1620701500.514980 0.0977 -0.0104 0.2870 -0.0000 0.4384 -0.0000 0.8988
1620701500.548313 0.1011 -0.0104 0.2896 -0.0000 0.4462 -0.0000 0.8949
1620701500.581646 0.1046 -0.0104 0.2922 -0.0000 0.4540 -0.0000 0.8910
1620701500.614980 0.1082 -0.0104 0.2948 -0.0000 0.4617 -0.0000 0.8870
1620701500.648313 0.1118 -0.0104 0.2972 -0.0000 0.4695 -0.0000 0.8829
1620701500.681646 0.1154 -0.0104 0.2997 -0.0000 0.4772 -0.0000 0.8788
1620701500.714979 0.1191 -0.0104 0.3020 -0.0000 0.4848 -0.0000 0.8746
1620701500.748313 0.1228 -0.0104 0.3043 -0.0000 0.4924 -0.0000 0.8704
1620701500.781646 0.1266 -0.0104 0.3065 -0.0000 0.5000 -0.0000 0.8660
1620701500.814979 0.1304 -0.0104 0.3086 -0.0000 0.5075 -0.0000 0.8616
1620701500.848313 0.1342 -0.0104 0.3107 -0.0000 0.5150 -0.0000 0.8572
1620701500.881646 0.1381 -0.0104 0.3127 -0.0000 0.5225 -0.0000 0.8526
1620701500.914979 0.1420 -0.0104 0.3147 -0.0000 0.5299 -0.0000 0.8480
1620701500.948313 0.1459 -0.0104 0.3166 -0.0000 0.5373 -0.0000 0.8434
1620701500.981646 0.1499 -0.0104 0.3184 -0.0000 0.5446 -0.0000 0.8387
1620701501.014979 0.1539 -0.0104 0.3201 -0.0000 0.5519 -0.0000 0.8339
1620701501.048312 0.1579 -0.0104 0.3218 -0.0000 0.5592 -0.0000 0.8290
1620701501.081646 0.1620 -0.0104 0.3234 -0.0000 0.5664 -0.0000 0.8241
1620701501.114979 0.1661 -0.0104 0.3249 -0.0000 0.5736 -0.0000 0.8192
1620701501.148312 0.1702 -0.0104 0.3264 -0.0000 0.5807 -0.0000 0.8141
1620701501.181646 0.1743 -0.0104 0.3278 -0.0000 0.5878 -0.0000 0.8090
1620701501.214979 0.1785 -0.0104 0.3291 -0.0000 0.5948 -0.0000 0.8039
1620701501.248312 0.1827 -0.0104 0.3303 -0.0000 0.6018 -0.0000 0.7986
1620701501.281646 0.1869 -0.0104 0.3315 -0.0000 0.6088 -0.0000 0.7934
1620701501.314979 0.1911 -0.0104 0.3326 -0.0000 0.6157 -0.0000 0.7880
1620701501.348312 0.1953 -0.0104 0.3336 -0.0000 0.6225 -0.0000 0.7826
1620701501.381645 0.1996 -0.0104 0.3345 -0.0000 0.6293 -0.0000 0.7771
1620701501.414979 0.2039 -0.0104 0.3354 -0.0000 0.6361 -0.0000 0.7716
1620701501.448312 0.2082 -0.0104 0.3362 -0.0000 0.6428 -0.0000 0.7660
1620701501.481645 0.2125 -0.0104 0.3369 -0.0000 0.6494 -0.0000 0.7604
1620701501.514979 0.2168 -0.0104 0.3376 -0.0000 0.6561 -0.0000 0.7547
1620701501.548312 0.2211 -0.0104 0.3381 -0.0000 0.6626 -0.0000 0.7490
1620701501.581645 0.2254 -0.0104 0.3386 -0.0000 0.6691 -0.0000 0.7431
1620701501.614979 0.2298 -0.0104 0.3390 -0.0000 0.6756 -0.0000 0.7373
1620701501.648312 0.2341 -0.0104 0.3394 -0.0000 0.6820 -0.0000 0.7314
1620701501.681645 0.2385 -0.0104 0.3396 -0.0000 0.6884 -0.0000 0.7254
1620701501.714978 0.2428 -0.0104 0.3398 -0.0000 0.6947 -0.0000 0.7193
1620701501.748312 0.2472 -0.0104 0.3399 -0.0000 0.7009 -0.0000 0.7133
1620701501.781645 0.2516 -0.0104 0.3400 -0.0000 0.7071 -0.0000 0.7071
1620701501.814978 0.2559 -0.0104 0.3399 -0.0000 0.7133 -0.0000 0.7009
1620701501.848312 0.2603 -0.0104 0.3398 -0.0000 0.7193 -0.0000 0.6947
1620701501.881645 0.2647 -0.0104 0.3396 -0.0000 0.7254 -0.0000 0.6884
1620701501.914978 0.2690 -0.0104 0.3394 -0.0000 0.7314 -0.0000 0.6820
1620701501.948312 0.2734 -0.0104 0.3390 -0.0000 0.7373 -0.0000 0.6756
1620701501.981645 0.2777 -0.0104 0.3386 -0.0000 0.7431 -0.0000 0.6691
1620701502.014978 0.2820 -0.0104 0.3381 -0.0000 0.7490 -0.0000 0.6626
1620701502.048311 0.2864 -0.0104 0.3376 -0.0000 0.7547 -0.0000 0.6561
1620701502.081645 0.2907 -0.0104 0.3369 -0.0000 0.7604 -0.0000 0.6494
1620701502.114978 0.2950 -0.0104 0.3362 -0.0000 0.7660 -0.0000 0.6428
1620701502.148311 0.2993 -0.0104 0.3354 -0.0000 0.7716 -0.0000 0.6361
1620701502.181645 0.3035 -0.0104 0.3345 -0.0000 0.7771 -0.0000 0.6293
1620701502.214978 0.3078 -0.0104 0.3336 -0.0000 0.7826 -0.0000 0.6225
1620701502.248311 0.3121 -0.0104 0.3326 -0.0000 0.7880 -0.0000 0.6157
1620701502.281645 0.3163 -0.0104 0.3315 -0.0000 0.7934 -0.0000 0.6088
1620701502.314978 0.3205 -0.0104 0.3303 -0.0000 0.7986 -0.0000 0.6018
1620701502.348311 0.3247 -0.0104 0.3291 -0.0000 0.8039 -0.0000 0.5948
1620701502.381644 0.3288 -0.0104 0.3278 -0.0000 0.8090 -0.0000 0.5878
1620701502.414978 0.3330 -0.0104 0.3264 -0.0000 0.8141 -0.0000 0.5807
1620701502.448311 0.3371 -0.0104 0.3249 -0.0000 0.8192 -0.0000 0.5736
1620701502.481644 0.3412 -0.0104 0.3234 -0.0000 0.8241 -0.0000 0.5664
1620701502.514978 0.3452 -0.0104 0.3218 -0.0000 0.8290 -0.0000 0.5592
1620701502.548311 0.3493 -0.0104 0.3201 -0.0000 0.8339 -0.0000 0.5519
1620701502.581644 0.3533 -0.0104 0.3184 -0.0000 0.8387 -0.0000 0.5446
1620701502.614978 0.3572 -0.0104 0.3166 -0.0000 0.8434 -0.0000 0.5373
1620701502.648311 0.3612 -0.0104 0.3147 -0.0000 0.8480 -0.0000 0.5299
1620701502.681644 0.3651 -0.0104 0.3127 -0.0000 0.8526 -0.0000 0.5225
1620701502.714978 0.3689 -0.0104 0.3107 -0.0000 0.8572 -0.0000 0.5150
1620701502.748311 0.3728 -0.0104 0.3086 -0.0000 0.8616 -0.0000 0.5075
1620701502.781644 0.3766 -0.0104 0.3065 -0.0000 0.8660 -0.0000 0.5000
1620701502.814977 0.3803 -0.0104 0.3043 -0.0000 0.8704 -0.0000 0.4924
1620701502.848311 0.3841 -0.0104 0.3020 -0.0000 0.8746 -0.0000 0.4848
1620701502.881644 0.3877 -0.0104 0.2997 -0.0000 0.8788 -0.0000 0.4772
1620701502.914977 0.3914 -0.0104 0.2972 -0.0000 0.8829 -0.0000 0.4695
1620701502.948311 0.3950 -0.0104 0.2948 -0.0000 0.8870 -0.0000 0.4617
1620701502.981644 0.3985 -0.0104 0.2922 -0.0000 0.8910 -0.0000 0.4540
1620701503.014977 0.4020 -0.0104 0.2896 -0.0000 0.8949 -0.0000 0.4462
1620701503.048311 0.4055 -0.0104 0.2870 -0.0000 0.8988 -0.0000 0.4384
1620701503.081644 0.4089 -0.0104 0.2843 -0.0000 0.9026 -0.0000 0.4305
1620701503.114977 0.4123 -0.0104 0.2815 -0.0000 0.9063 -0.0000 0.4226
1620701503.148310 0.4156 -0.0104 0.2787 -0.0000 0.9100 -0.0000 0.4147
1620701503.181644 0.4189 -0.0104 0.2758 -0.0000 0.9135 -0.0000 0.4067
1620701503.214977 0.4221 -0.0104 0.2728 -0.0000 0.9171 -0.0000 0.3987
1620701503.248310 0.4252 -0.0104 0.2698 -0.0000 0.9205 -0.0000 0.3907
1620701503.281644 0.4283 -0.0104 0.2668 -0.0000 0.9239 -0.0000 0.3827
1620701503.314977 0.4314 -0.0104 0.2637 -0.0000 0.9272 -0.0000 0.3746
1620701503.348310 0.4344 -0.0104 0.2605 -0.0000 0.9304 -0.0000 0.3665
1620701503.381644 0.4374 -0.0104 0.2573 -0.0000 0.9336 -0.0000 0.3584
1620701503.414977 0.4402 -0.0104 0.2540 -0.0000 0.9367 -0.0000 0.3502
1620701503.448310 0.4431 -0.0104 0.2507 -0.0000 0.9397 -0.0000 0.3420
1620701503.481643 0.4459 -0.0104 0.2473 -0.0000 0.9426 -0.0000 0.3338
1620701503.514977 0.4486 -0.0104 0.2439 -0.0000 0.9455 -0.0000 0.3256
1620701503.548310 0.4512 -0.0104 0.2404 -0.0000 0.9483 -0.0000 0.3173
1620701503.581643 0.4538 -0.0104 0.2369 -0.0000 0.9511 -0.0000 0.3090
1620701503.614977 0.4564 -0.0104 0.2334 -0.0000 0.9537 -0.0000 0.3007
1620701503.648310 0.4588 -0.0104 0.2298 -0.0000 0.9563 -0.0000 0.2924
1620701503.681643 0.4612 -0.0104 0.2261 -0.0000 0.9588 -0.0000 0.2840
1620701503.714977 0.4636 -0.0104 0.2225 -0.0000 0.9613 -0.0000 0.2756
1620701503.748310 0.4659 -0.0104 0.2187 -0.0000 0.9636 -0.0000 0.2672
1620701503.781643 0.4681 -0.0104 0.2150 -0.0000 0.9659 -0.0000 0.2588
1620701503.814976 0.4702 -0.0104 0.2112 -0.0000 0.9681 -0.0000 0.2504
1620701503.848310 0.4723 -0.0104 0.2074 -0.0000 0.9703 -0.0000 0.2419
1620701503.881643 0.4743 -0.0104 0.2035 -0.0000 0.9724 -0.0000 0.2334
1620701503.914976 0.4763 -0.0104 0.1996 -0.0000 0.9744 -0.0000 0.2250
1620701503.948310 0.4781 -0.0104 0.1956 -0.0000 0.9763 -0.0000 0.2164
1620701503.981643 0.4800 -0.0104 0.1917 -0.0000 0.9781 -0.0000 0.2079
1620701504.014976 0.4817 -0.0104 0.1877 -0.0000 0.9799 -0.0000 0.1994
1620701504.048310 0.4834 -0.0104 0.1836 -0.0000 0.9816 -0.0000 0.1908
1620701504.081643 0.4850 -0.0104 0.1796 -0.0000 0.9833 -0.0000 0.1822
1620701504.114976 0.4865 -0.0104 0.1755 -0.0000 0.9848 -0.0000 0.1736
1620701504.148309 0.4880 -0.0104 0.1714 -0.0000 0.9863 -0.0000 0.1650
1620701504.181643 0.4893 -0.0104 0.1672 -0.0000 0.9877 -0.0000 0.1564
1620701504.214976 0.4906 -0.0104 0.1631 -0.0000 0.9890 -0.0000 0.1478
1620701504.248309 0.4919 -0.0104 0.1589 -0.0000 0.9903 -0.0000 0.1392
1620701504.281643 0.4931 -0.0104 0.1547 -0.0000 0.9914 -0.0000 0.1305
1620701504.314976 0.5008 -0.0059 0.1257 -0.0000 0.9914 -0.0000 0.1305
1620701504.348309 0.5086 -0.0014 0.0967 -0.0000 0.9914 -0.0000 0.1305
1620701504.381643 0.5163 0.0031 0.0678 -0.0000 0.9914 -0.0000 0.1305
1620701504.414976 0.5241 0.0076 0.0388 -0.0000 0.9914 -0.0000 0.1305
1620701504.448309 0.5319 0.0121 0.0098 -0.0000 0.9914 -0.0000 0.1305
1620701504.481642 0.5396 0.0167 -0.0192 -0.0000 0.9914 -0.0000 0.1305
1620701504.514976 0.5474 0.0212 -0.0482 -0.0000 0.9914 -0.0000 0.1305
1620701504.548309 0.5485 0.0212 -0.0524 -0.0000 0.9925 -0.0000 0.1219
1620701504.581642 0.5495 0.0212 -0.0566 -0.0000 0.9936 -0.0000 0.1132
1620701504.614976 0.5505 0.0212 -0.0609 -0.0000 0.9945 -0.0000 0.1045
1620701504.648309 0.5513 0.0212 -0.0652 -0.0000 0.9954 -0.0000 0.0958
1620701504.681642 0.5521 0.0212 -0.0694 -0.0000 0.9962 -0.0000 0.0872
1620701504.714976 0.5528 0.0212 -0.0737 -0.0000 0.9969 -0.0000 0.0785
1620701504.748309 0.5535 0.0212 -0.0781 -0.0000 0.9976 -0.0000 0.0698
1620701504.781642 0.5541 0.0212 -0.0824 -0.0000 0.9981 -0.0000 0.0610
1620701504.814976 0.5546 0.0212 -0.0867 -0.0000 0.9986 -0.0000 0.0523
1620701504.848309 0.5550 0.0212 -0.0911 -0.0000 0.9990 -0.0000 0.0436
1620701504.881642 0.5553 0.0212 -0.0954 -0.0000 0.9994 -0.0000 0.0349
1620701504.914975 0.5556 0.0212 -0.0998 -0.0000 0.9997 -0.0000 0.0262
1620701504.948309 0.5558 0.0212 -0.1041 -0.0000 0.9998 -0.0000 0.0175
1620701504.981642 0.5568 0.0249 -0.1341 -0.0000 0.9998 -0.0000 0.0175
1620701505.014975 0.5579 0.0250 -0.1641 -0.0000 0.9998 -0.0000 0.0175
1620701505.048309 0.5589 0.0250 -0.1941 -0.0000 0.9998 -0.0000 0.0175
1620701505.081642 0.5600 0.0250 -0.2241 -0.0000 0.9998 -0.0000 0.0175
1620701505.114975 0.5610 0.0250 -0.2540 -0.0000 0.9998 -0.0000 0.0175
1620701505.148309 0.5611 0.0250 -0.2584 -0.0000 1.0000 -0.0000 0.0087
1620701505.181642 0.5612 0.0250 -0.2628 -0.0000 1.0000 -0.0000 0.0000
1620701505.214975 0.5611 0.0250 -0.2671 -0.0000 1.0000 -0.0000 -0.0087
1620701505.248308 0.5610 0.0250 -0.2715 -0.0000 0.9998 -0.0000 -0.0175
1620701505.281642 0.5608 0.0250 -0.2759 -0.0000 0.9997 -0.0000 -0.0262
1620701505.314975 0.5605 0.0250 -0.2802 -0.0000 0.9994 -0.0000 -0.0349
1620701505.348308 0.5602 0.0250 -0.2846 -0.0000 0.9990 -0.0000 -0.0436
1620701505.381642 0.5598 0.0250 -0.2889 -0.0000 0.9986 -0.0000 -0.0523
1620701505.414975 0.5567 0.0250 -0.3187 -0.0000 0.9986 -0.0000 -0.0523
1620701505.448308 0.5535 0.0250 -0.3486 -0.0000 0.9986 -0.0000 -0.0523
1620701505.481642 0.5504 0.0250 -0.3784 -0.0000 0.9986 -0.0000 -0.0523
1620701505.514975 0.5472 0.0250 -0.4082 -0.0000 0.9986 -0.0000 -0.0523
1620701505.548308 0.5441 0.0250 -0.4381 -0.0000 0.9986 -0.0000 -0.0523
1620701505.581641 0.5436 0.0250 -0.4424 -0.0000 0.9981 -0.0000 -0.0610
1620701505.614975 0.5430 0.0250 -0.4467 -0.0000 0.9976 -0.0000 -0.0698
1620701505.648308 0.5424 0.0250 -0.4511 -0.0000 0.9969 -0.0000 -0.0785
1620701505.681641 0.5377 0.0250 -0.4807 -0.0000 0.9969 -0.0000 -0.0785
1620701505.714975 0.5330 0.0250 -0.5103 -0.0000 0.9969 -0.0000 -0.0785
1620701505.748308 0.5283 0.0250 -0.5399 -0.0000 0.9969 -0.0000 -0.0785
1620701505.781641 0.5276 0.0250 -0.5442 -0.0000 0.9962 -0.0000 -0.0872
1620701505.814975 0.5268 0.0250 -0.5485 -0.0000 0.9954 -0.0000 -0.0958
1620701505.848308 0.5259 0.0250 -0.5528 -0.0000 0.9945 -0.0000 -0.1045
1620701505.881641 0.5250 0.0250 -0.5571 -0.0000 0.9936 -0.0000 -0.1132
1620701505.914974 0.5240 0.0250 -0.5613 -0.0000 0.9925 -0.0000 -0.1219
1620701505.948308 0.5167 0.0250 -0.5904 -0.0000 0.9925 -0.0000 -0.1219
1620701505.981641 0.5095 0.0250 -0.6195 -0.0000 0.9925 -0.0000 -0.1219
1620701506.014974 0.5022 0.0250 -0.6486 -0.0000 0.9925 -0.0000 -0.1219
1620701506.048308 0.4949 0.0250 -0.6778 -0.0000 0.9925 -0.0000 -0.1219
1620701506.081641 0.4877 0.0250 -0.7069 -0.0000 0.9925 -0.0000 -0.1219
1620701506.114974 0.4804 0.0250 -0.7360 -0.0000 0.9925 -0.0000 -0.1219
1620701506.148308 0.4732 0.0250 -0.7651 -0.0000 0.9925 -0.0000 -0.1219
1620701506.181641 0.4659 0.0250 -0.7942 -0.0000 0.9925 -0.0000 -0.1219
1620701506.214974 0.4587 0.0250 -0.8233 -0.0000 0.9925 -0.0000 -0.1219
1620701506.248307 0.4514 0.0250 -0.8524 -0.0000 0.9925 -0.0000 -0.1219
1620701506.281641 0.4441 0.0250 -0.8815 -0.0000 0.9925 -0.0000 -0.1219
1620701506.314974 0.4369 0.0250 -0.9106 -0.0000 0.9925 -0.0000 -0.1219
1620701506.348307 0.4296 0.0250 -0.9397 -0.0000 0.9925 -0.0000 -0.1219
1620701506.381641 0.4224 0.0250 -0.9688 -0.0000 0.9925 -0.0000 -0.1219
1620701506.414974 0.4151 0.0250 -0.9980 -0.0000 0.9925 -0.0000 -0.1219
1620701506.448307 0.4079 0.0250 -1.0271 -0.0000 0.9925 -0.0000 -0.1219
1620701506.481641 0.4006 0.0250 -1.0562 -0.0000 0.9925 -0.0000 -0.1219
1620701506.514974 0.3933 0.0250 -1.0853 -0.0000 0.9925 -0.0000 -0.1219
1620701506.548307 0.3861 0.0250 -1.1144 -0.0000 0.9925 -0.0000 -0.1219
1620701506.581640 0.3788 0.0250 -1.1435 -0.0000 0.9925 -0.0000 -0.1219
1620701506.614974 0.3716 0.0250 -1.1726 -0.0000 0.9925 -0.0000 -0.1219
1620701506.648307 0.3643 0.0250 -1.2017 -0.0000 0.9925 -0.0000 -0.1219
1620701506.681640 0.3570 0.0250 -1.2308 -0.0000 0.9925 -0.0000 -0.1219
1620701506.714974 0.3498 0.0250 -1.2599 -0.0000 0.9925 -0.0000 -0.1219
1620701506.748307 0.3425 0.0250 -1.2890 -0.0000 0.9925 -0.0000 -0.1219
1620701506.781640 0.3353 0.0250 -1.3181 -0.0000 0.9925 -0.0000 -0.1219
1620701506.814974 0.3280 0.0250 -1.3473 -0.0000 0.9925 -0.0000 -0.1219
1620701506.848307 0.3208 0.0250 -1.3764 -0.0000 0.9925 -0.0000 -0.1219
1620701506.881640 0.3135 0.0250 -1.4055 -0.0000 0.9925 -0.0000 -0.1219
1620701506.914973 0.3062 0.0250 -1.4346 -0.0000 0.9925 -0.0000 -0.1219
1620701506.948307 0.2990 0.0250 -1.4637 -0.0000 0.9925 -0.0000 -0.1219
1620701506.981640 0.2917 0.0250 -1.4928 -0.0000 0.9925 -0.0000 -0.1219
1620701507.014973 0.2845 0.0250 -1.5219 -0.0000 0.9925 -0.0000 -0.1219
1620701507.048307 0.2772 0.0250 -1.5510 -0.0000 0.9925 -0.0000 -0.1219
1620701507.081640 0.2700 0.0250 -1.5801 -0.0000 0.9925 -0.0000 -0.1219
1620701507.114973 0.2627 0.0250 -1.6092 -0.0000 0.9925 -0.0000 -0.1219
1620701507.148307 0.2554 0.0250 -1.6383 -0.0000 0.9925 -0.0000 -0.1219
1620701507.181640 0.2482 0.0250 -1.6675 -0.0000 0.9925 -0.0000 -0.1219
1620701507.214973 0.2409 0.0250 -1.6966 -0.0000 0.9925 -0.0000 -0.1219
1620701507.248307 0.2337 0.0250 -1.7257 -0.0000 0.9925 -0.0000 -0.1219
1620701507.281640 0.2264 0.0250 -1.7548 -0.0000 0.9925 -0.0000 -0.1219
1620701507.314973 0.2192 0.0250 -1.7839 -0.0000 0.9925 -0.0000 -0.1219
1620701507.348306 0.2119 0.0250 -1.8130 -0.0000 0.9925 -0.0000 -0.1219
1620701507.381640 0.2129 0.0250 -1.8088 -0.0000 0.9936 -0.0000 -0.1132
1620701507.414973 0.2139 0.0250 -1.8045 -0.0000 0.9945 -0.0000 -0.1045
1620701507.448306 0.2147 0.0250 -1.8002 -0.0000 0.9954 -0.0000 -0.0958
1620701507.481640 0.2155 0.0250 -1.7959 -0.0000 0.9962 -0.0000 -0.0872
1620701507.514973 0.2162 0.0250 -1.7916 -0.0000 0.9969 -0.0000 -0.0785
1620701507.548306 0.2169 0.0250 -1.7873 -0.0000 0.9976 -0.0000 -0.0698
1620701507.581640 0.2175 0.0250 -1.7830 -0.0000 0.9981 -0.0000 -0.0610
1620701507.614973 0.2180 0.0250 -1.7787 -0.0000 0.9986 -0.0000 -0.0523
1620701507.648306 0.2148 0.0250 -1.8085 -0.0000 0.9986 -0.0000 -0.0523
1620701507.681639 0.2117 0.0250 -1.8383 -0.0000 0.9986 -0.0000 -0.0523
1620701507.714973 0.2085 0.0250 -1.8682 -0.0000 0.9986 -0.0000 -0.0523
1620701507.748306 0.2054 0.0250 -1.8980 -0.0000 0.9986 -0.0000 -0.0523
1620701507.781639 0.2023 0.0250 -1.9278 -0.0000 0.9986 -0.0000 -0.0523
1620701507.814973 0.2027 0.0250 -1.9235 -0.0000 0.9990 -0.0000 -0.0436
1620701507.848306 0.2030 0.0250 -1.9191 -0.0000 0.9994 -0.0000 -0.0349
1620701507.881639 0.2033 0.0250 -1.9148 -0.0000 0.9997 -0.0000 -0.0262
1620701507.914973 0.2035 0.0250 -1.9104 -0.0000 0.9998 -0.0000 -0.0175
1620701507.948306 0.2036 0.0250 -1.9061 -0.0000 1.0000 -0.0000 -0.0087
1620701507.981639 0.2036 0.0250 -1.9017 -0.0000 1.0000 -0.0000 0.0000
1620701508.014972 0.2036 0.0250 -1.8973 -0.0000 1.0000 -0.0000 0.0087
1620701508.048306 0.2041 0.0250 -1.9273 -0.0000 1.0000 -0.0000 0.0087
1620701508.081639 0.2047 0.0250 -1.9573 -0.0000 1.0000 -0.0000 0.0087
1620701508.114972 0.2052 0.0250 -1.9873 -0.0000 1.0000 -0.0000 0.0087
1620701508.148306 0.2057 0.0250 -2.0173 -0.0000 1.0000 -0.0000 0.0087
1620701508.181639 0.2062 0.0250 -2.0473 -0.0000 1.0000 -0.0000 0.0087
1620701508.214972 0.2067 0.0250 -2.0773 -0.0000 1.0000 -0.0000 0.0087
1620701508.248306 0.2073 0.0250 -2.1073 -0.0000 1.0000 -0.0000 0.0087
1620701508.281639 0.2078 0.0250 -2.1373 -0.0000 1.0000 -0.0000 0.0087
1620701508.314972 0.2083 0.0250 -2.1673 -0.0000 1.0000 -0.0000 0.0087
1620701508.348305 0.2088 0.0250 -2.1973 -0.0000 1.0000 -0.0000 0.0087
1620701508.381639 0.2094 0.0250 -2.2273 -0.0000 1.0000 -0.0000 0.0087
1620701508.414972 0.2099 0.0250 -2.2573 -0.0000 1.0000 -0.0000 0.0087
1620701508.448305 0.2104 0.0250 -2.2873 -0.0000 1.0000 -0.0000 0.0087
1620701508.481639 0.2109 0.0250 -2.3173 -0.0000 1.0000 -0.0000 0.0087
1620701508.514972 0.2115 0.0250 -2.3473 -0.0000 1.0000 -0.0000 0.0087
1620701508.548305 0.2120 0.0250 -2.3773 -0.0000 1.0000 -0.0000 0.0087
1620701508.581639 0.2119 0.0250 -2.3729 -0.0000 0.9998 -0.0000 0.0175
1620701508.614972 0.2117 0.0250 -2.3685 -0.0000 0.9997 -0.0000 0.0262
1620701508.648305 0.2114 0.0250 -2.3642 -0.0000 0.9994 -0.0000 0.0349
1620701508.681638 0.2111 0.0250 -2.3598 -0.0000 0.9990 -0.0000 0.0436
